time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,type,horizontalError,depthError,magError,magNst,tsunami
2015-01-07T20:21:37.962Z,-38.0194,-79.1433,1.6,4.62,mww,73.0,141.3,0.115,0.93,ci,us70000000f,near Vanuatu,earthquake,3.41,2.58,0.12,43,0
2015-01-08T07:19:04.493Z,35.3359,-86.0982,43.33,4.72,mww,71.0,97.6,0.819,0.92,us,us700000010,near Vanuatu,earthquake,1.32,7.76,0.236,42,0
2015-01-08T18:16:31.023Z,-14.4083,-123.7517,20.9,4.95,mww,65.0,39.8,2.484,0.83,us,us700000011,100 km ESE of Kamchatka,earthquake,3.73,5.0,0.181,39,0
2015-01-09T05:13:57.554Z,17.6012,-143.5239,10.75,4.84,mww,82.0,122.6,0.867,0.33,us,us700000012,various,earthquake,2.89,6.69,0.02,49,0
2015-01-09T16:11:24.085Z,48.1883,17.0512,5.98,4.71,mww,89.0,139.2,0.228,1.0,ak,us700000013,Greece,earthquake,2.1,13.77,0.024,53,0
2015-01-10T03:08:50.616Z,4.9948,-114.4926,19.87,5.07,mb,74.0,66.5,1.006,0.47,ak,us700000014,100 km ESE of Kamchatka,earthquake,1.06,10.78,0.083,44,0
2015-01-10T14:06:17.147Z,13.9337,127.2925,428.53,4.59,mww,72.0,34.2,0.617,0.96,us,us700000015,various,earthquake,1.73,2.35,0.063,43,0
2015-01-11T01:03:43.677Z,31.3109,90.2807,33.15,4.71,mww,75.0,53.4,1.045,0.69,us,us700000016,northern India,earthquake,1.69,2.42,0.03,45,0
2015-01-11T12:01:10.208Z,-12.6436,-74.1289,195.7,4.77,ml,79.0,40.4,0.744,,us,us700000017,near the coast of Chile,earthquake,4.77,1.36,0.041,47,0
2015-01-11T22:58:36.739Z,-34.1994,-112.4369,0.3,4.87,ml,76.0,38.2,1.566,0.48,us,us700000018,off the coast of Japan,earthquake,1.9,2.88,0.306,45,0
2015-01-12T09:56:03.270Z,-0.3467,-113.0545,10.15,5.42,mb,89.0,33.9,2.442,0.02,ak,us700000019,near the coast of Chile,earthquake,12.53,6.96,0.066,53,0
2015-01-12T20:53:29.801Z,22.4929,134.8208,148.63,4.63,mb,83.0,132.6,3.263,1.18,us,us70000001a,various,earthquake,1.61,2.2,0.045,49,0
2015-01-13T07:50:56.332Z,28.7083,-114.864,14.1,4.93,md,83.0,22.0,2.028,0.71,us,us70000001b,south of Fiji,earthquake,7.71,8.04,0.038,49,0
2015-01-13T18:48:22.862Z,16.0625,-35.3166,351.57,5.04,mww,85.0,67.9,0.658,0.47,us,us70000001c,various,earthquake,2.36,4.41,0.109,51,0
2015-01-14T05:45:49.393Z,2.31,141.1665,271.76,4.53,ml,74.0,12.1,0.893,0.75,us,us70000001d,near Vanuatu,earthquake,23.28,2.79,0.082,44,0
2015-01-14T16:43:15.924Z,23.8291,-17.2578,25.24,5.06,mww,80.0,51.1,1.54,0.48,us,us70000001e,various,earthquake,5.89,3.17,0.062,48,0
2015-01-15T03:40:42.455Z,-8.0991,120.9383,114.68,4.61,mww,82.0,109.0,0.372,0.34,us,us70000001f,off the coast of Japan,earthquake,3.78,6.9,0.066,49,0
2015-01-15T14:38:08.986Z,0.8736,-161.421,9.72,4.54,mww,89.0,38.4,1.815,0.4,ci,us700000020,various,earthquake,6.33,2.52,0.043,53,0
2015-01-16T01:35:35.516Z,-21.454,43.417,307.99,6.28,mb,90.0,149.8,1.574,0.45,ak,us700000021,various,earthquake,7.81,6.04,0.157,54,0
2015-01-16T12:33:02.047Z,33.61,-62.7612,23.07,6.52,mb,94.0,16.8,1.603,0.43,us,us700000022,near the coast of Chile,earthquake,19.08,3.16,0.158,56,1
2015-01-16T23:30:28.578Z,35.1477,73.8499,1.24,5.49,mww,82.0,29.1,0.608,0.66,nc,us700000023,Afghanistan,earthquake,1.56,7.77,0.023,49,0
2015-01-17T10:27:55.109Z,34.8365,81.3835,29.88,4.72,mb,85.0,120.2,1.38,0.95,us,us700000024,northern India,earthquake,3.64,1.95,0.044,51,0
2015-01-17T21:25:21.640Z,35.6919,144.5291,26.68,4.56,mww,82.0,146.6,0.33,0.71,nc,us700000025,various,earthquake,2.47,2.48,0.026,49,0
2015-01-18T08:22:48.171Z,-4.0023,-111.5416,173.75,5.19,mb,92.0,143.6,0.316,0.55,us,us700000026,near Vanuatu,earthquake,2.46,3.75,0.029,55,0
2015-01-18T19:20:14.701Z,4.3649,-84.3818,1.44,4.85,mb,76.0,121.8,2.195,0.08,us,us700000027,off the coast of Japan,earthquake,4.0,6.53,0.336,45,0
2015-01-19T06:17:41.232Z,13.2587,-39.9982,340.38,4.58,ml,81.0,146.2,0.716,0.73,nc,us700000028,various,earthquake,3.1,1.69,0.081,48,0
2015-01-19T17:15:07.763Z,33.3712,78.387,24.92,4.91,mww,76.0,127.7,1.18,0.38,us,us700000029,northern India,earthquake,5.99,10.35,0.042,45,0
2015-01-20T04:12:34.294Z,26.7957,109.0545,3.63,4.52,mb,66.0,18.1,0.52,0.67,us,us70000002a,near Vanuatu,earthquake,2.19,1.07,0.357,39,0
2015-01-20T15:10:00.825Z,-9.9908,-41.4897,111.15,5.94,mb,94.0,128.4,0.403,0.73,ci,us70000002b,various,earthquake,3.27,1.11,0.085,56,0
2015-01-21T02:07:27.355Z,-8.1669,147.7139,10.68,4.68,mb,76.0,77.7,2.27,0.5,us,us70000002c,near Vanuatu,earthquake,11.11,3.38,0.136,45,0
2015-01-21T13:04:53.886Z,33.1139,60.7211,9.67,5.15,mb,86.0,73.9,2.371,0.35,us,us70000002d,Afghanistan,earthquake,1.28,8.06,0.336,51,0
2015-01-22T00:02:20.417Z,-13.6607,156.6303,19.12,4.72,mww,79.0,10.4,2.714,0.7,ak,us70000002e,near Vanuatu,earthquake,1.94,1.56,0.286,47,0
2015-01-22T10:59:46.948Z,46.7944,125.0533,8.8,4.94,mww,86.0,96.8,2.891,0.24,us,us70000002f,near Vanuatu,earthquake,1.32,3.66,0.354,51,0
2015-01-22T21:57:13.479Z,-13.4945,-89.9917,46.93,4.97,mb,78.0,104.0,0.795,1.28,ci,us700000030,south of Fiji,earthquake,1.19,3.24,0.203,46,0
2015-01-23T08:54:40.010Z,32.7068,179.3515,118.78,4.62,mb,68.0,120.7,2.483,0.61,us,us700000031,off the coast of Japan,earthquake,1.05,6.46,0.141,40,0
2015-01-23T19:52:06.540Z,-11.0929,154.493,401.31,6.6,mb,105.0,55.6,0.637,0.77,nc,us700000032,near Vanuatu,earthquake,2.36,1.96,0.043,63,0
2015-01-24T06:49:33.071Z,-36.1276,136.0812,5.03,5.4,mww,85.0,27.9,0.081,0.57,us,us700000033,near Vanuatu,earthquake,6.66,4.61,0.04,51,0
2015-01-24T17:46:59.602Z,-1.4426,135.979,3.75,6.18,mww,91.0,71.6,1.754,0.36,us,us700000034,near the coast of Chile,earthquake,1.83,11.08,0.063,54,0
2015-01-25T04:44:26.133Z,-37.6125,-122.1241,191.39,5.85,mww,84.0,60.7,0.333,1.18,us,us700000035,near Vanuatu,earthquake,2.18,1.23,0.251,50,0
2015-01-25T15:41:52.664Z,27.2972,71.6892,8.02,5.05,mww,80.0,115.4,0.901,0.25,us,us700000036,Tibet region,earthquake,6.82,9.63,0.048,48,0
2015-01-26T02:39:19.194Z,-38.6189,-87.4058,40.64,6.03,mb,87.0,42.1,0.268,0.59,nc,us700000037,near the coast of Chile,earthquake,1.49,1.94,0.044,52,1
2015-01-26T13:36:45.725Z,35.1232,138.9777,30.74,4.56,mb,73.0,29.3,0.745,0.52,us,us700000038,off the coast of Japan,earthquake,1.81,1.34,0.106,43,0
2015-01-27T00:34:12.256Z,39.5611,12.9841,271.96,4.63,mb,75.0,71.6,3.242,0.47,us,us700000039,Greece,earthquake,4.73,2.54,0.046,45,0
2015-01-27T11:31:38.787Z,-44.2073,-20.2533,2.09,4.53,mww,80.0,97.9,1.425,0.38,ak,us70000003a,various,earthquake,5.05,3.85,0.107,48,0
2015-01-27T22:29:05.318Z,34.5592,102.6893,6.21,4.74,md,72.0,49.3,0.24,0.49,us,us70000003b,Afghanistan,earthquake,2.33,2.77,0.125,43,0
2015-01-28T09:26:31.848Z,53.3431,146.9679,3.13,4.8,ml,74.0,26.0,1.939,0.75,us,us70000003c,Papua New Guinea region,earthquake,1.03,1.57,0.064,44,0
2015-01-28T20:23:58.379Z,2.7842,-34.2557,8.02,4.69,mb,68.0,71.5,2.824,0.67,us,us70000003d,various,earthquake,2.44,3.59,0.081,40,0
2015-01-29T07:21:24.910Z,-2.9789,106.9133,510.11,5.56,md,78.0,,0.273,0.71,us,us70000003e,various,earthquake,4.77,1.01,0.083,46,0
2015-01-29T18:18:51.441Z,-9.5074,168.9266,3.14,4.76,mww,85.0,145.4,2.044,0.5,us,us70000003f,off the coast of Japan,earthquake,4.76,1.04,0.033,51,0
2015-01-30T05:16:17.972Z,34.4443,-143.4803,2.18,4.7,ml,79.0,109.2,1.195,0.85,us,us700000040,various,earthquake,2.63,8.12,0.032,47,0
2015-01-30T16:13:44.503Z,30.937,-179.5297,419.61,4.97,mb,80.0,118.8,1.391,0.13,us,us700000041,off the coast of Japan,earthquake,2.29,4.36,0.036,48,0
2015-01-31T03:11:11.033Z,59.233,-110.2795,10.93,4.59,ml,77.0,38.5,,0.55,us,us700000042,near Vanuatu,earthquake,4.63,2.81,0.161,46,0
2015-01-31T14:08:37.564Z,-11.5254,132.1686,128.03,5.47,md,84.0,62.5,0.056,0.52,us,us700000043,south of Fiji,earthquake,9.92,3.06,0.166,50,0
2015-02-01T01:06:04.095Z,31.7412,10.2194,7.44,4.55,ml,76.0,94.7,1.527,0.52,us,us700000044,Iran,earthquake,5.72,3.44,0.076,45,0
2015-02-01T12:03:30.626Z,-14.2013,-125.7261,347.94,7.1,mb,96.0,115.1,0.128,0.52,ci,us700000045,near the coast of Chile,earthquake,1.78,2.08,0.023,57,0
2015-02-01T23:00:57.157Z,13.3491,-107.3649,4.46,5.39,mb,96.0,33.3,2.338,0.54,ak,us700000046,near the coast of Chile,earthquake,10.86,6.19,0.021,57,0
2015-02-02T09:58:23.687Z,-43.2707,165.2404,2.84,4.63,mb,87.0,74.1,3.397,0.78,ak,us700000047,Papua New Guinea region,earthquake,3.82,2.47,0.34,52,0
2015-02-02T20:55:50.218Z,-8.7137,-118.0899,17.98,4.5,mb,71.0,32.8,0.136,0.45,us,us700000048,Papua New Guinea region,earthquake,1.36,4.44,0.046,42,0
2015-02-03T07:53:16.749Z,-8.0446,157.9005,1.0,5.51,mww,101.0,98.7,0.039,0.46,us,us700000049,Papua New Guinea region,earthquake,2.23,1.58,0.038,60,0
2015-02-03T18:50:43.280Z,37.2651,37.0592,260.72,5.24,mww,67.0,118.1,4.674,0.96,ci,us70000004a,central Italy,earthquake,4.86,1.11,0.029,40,0
2015-02-04T05:48:09.811Z,51.0835,125.7472,9.69,5.28,mww,84.0,126.7,3.916,0.88,us,us70000004b,near the coast of Chile,earthquake,7.12,1.65,0.14,50,0
2015-02-04T16:45:36.342Z,-11.9598,148.0446,160.56,5.39,md,76.0,112.5,3.861,0.61,us,us70000004c,various,earthquake,3.26,2.74,0.15,45,0
2015-02-05T03:43:02.872Z,33.0104,-92.3384,0.33,4.55,ml,80.0,32.3,4.212,0.65,us,us70000004d,100 km ESE of Kamchatka,earthquake,1.44,,0.338,48,0
2015-02-05T14:40:29.403Z,21.4958,-76.8186,10.03,4.77,md,74.0,126.0,1.04,0.15,us,us70000004e,south of Fiji,earthquake,1.4,5.31,0.205,44,0
2015-02-06T01:37:55.934Z,-35.2109,127.3912,116.39,4.57,mb,72.0,56.8,5.652,0.53,ci,us70000004f,off the coast of Japan,earthquake,2.18,1.71,0.023,43,0
2015-02-06T12:35:22.465Z,-4.4735,-125.3054,1.17,5.69,mww,95.0,127.0,3.343,0.79,ak,us700000050,near the coast of Chile,earthquake,1.11,7.71,0.188,57,0
2015-02-06T23:32:48.996Z,22.8341,107.5076,274.29,5.09,mb,77.0,45.1,0.154,0.78,us,us700000051,Papua New Guinea region,earthquake,2.63,7.36,0.362,46,0
2015-02-07T10:30:15.526Z,47.9074,45.1939,242.95,4.74,mb,79.0,76.6,2.513,0.27,ci,us700000052,Iran,earthquake,5.5,2.33,0.095,47,0
2015-02-07T21:27:42.057Z,31.7718,80.3681,4.82,4.54,ml,70.0,90.7,1.87,0.18,ci,us700000053,Afghanistan,earthquake,2.85,3.51,0.038,42,0
2015-02-08T08:25:08.588Z,34.1431,157.5894,153.73,4.72,mb,93.0,14.9,0.216,0.81,us,us700000054,Papua New Guinea region,earthquake,6.32,5.6,0.046,55,0
2015-02-08T19:22:35.119Z,28.828,104.2657,19.36,4.74,mww,83.0,136.5,2.009,0.91,us,us700000055,south of Fiji,earthquake,4.21,3.21,0.202,49,0
2015-02-09T06:20:01.650Z,23.3436,126.6878,113.72,5.28,ml,82.0,81.6,0.995,0.82,nc,us700000056,100 km ESE of Kamchatka,earthquake,1.64,1.33,0.36,49,0
2015-02-09T17:17:28.181Z,40.5728,-32.587,24.47,5.11,mww,84.0,36.9,2.884,1.2,us,us700000057,various,earthquake,1.72,2.3,0.332,50,0
2015-02-10T04:14:54.711Z,29.9392,86.7512,32.99,5.81,mb,92.0,32.5,2.562,1.01,us,us700000058,northern India,earthquake,,3.88,0.088,55,0
2015-02-10T15:12:21.242Z,16.2712,162.3431,6.49,4.88,mb,76.0,106.1,4.28,0.38,us,us700000059,south of Fiji,earthquake,3.32,7.78,0.116,45,0
2015-02-11T02:09:47.773Z,-2.4155,118.2004,14.27,4.58,ml,82.0,21.4,0.117,1.0,nc,us70000005a,near the coast of Chile,earthquake,4.4,1.29,0.131,49,0
2015-02-11T13:07:14.304Z,-45.2035,-83.0461,10.47,5.25,mww,84.0,71.6,1.858,0.36,us,us70000005b,various,earthquake,1.57,1.78,0.075,50,0
2015-02-12T00:04:40.835Z,42.5573,-176.0741,25.65,5.36,mww,82.0,85.6,0.71,0.71,us,us70000005c,100 km ESE of Kamchatka,earthquake,1.5,11.7,0.299,49,0
2015-02-12T11:02:07.365Z,8.3284,-72.6906,0.13,4.99,mww,85.0,42.6,2.244,0.22,us,us70000005d,near the coast of Chile,earthquake,1.04,2.53,0.191,51,0
2015-02-12T21:59:33.896Z,-5.6673,170.7658,0.47,5.38,ml,80.0,28.1,1.384,0.92,us,us70000005e,off the coast of Japan,earthquake,1.36,2.9,0.034,48,0
2015-02-13T08:57:00.427Z,33.882,53.6861,6.14,4.91,md,83.0,78.7,1.027,0.46,us,us70000005f,central Italy,earthquake,5.18,5.39,0.034,49,0
2015-02-13T19:54:26.958Z,38.4069,-170.6879,163.97,4.94,mb,77.0,57.6,0.006,1.3,us,us700000060,various,earthquake,,2.84,0.102,46,0
2015-02-14T06:51:53.489Z,-47.6705,58.0945,19.62,4.83,mww,60.0,59.3,1.402,0.71,us,us700000061,various,earthquake,3.79,2.05,0.097,36,0
2015-02-14T17:49:20.020Z,32.3993,81.3845,13.51,4.52,mb,77.0,39.5,0.818,0.6,us,us700000062,northern India,earthquake,3.76,14.83,0.022,46,0
2015-02-15T04:46:46.550Z,9.1044,-127.2225,21.18,4.57,ml,81.0,75.9,0.606,0.34,us,us700000063,off the coast of Japan,earthquake,15.7,3.94,,48,0
2015-02-15T15:44:13.081Z,3.3437,133.0022,6.12,4.52,mb,68.0,28.6,6.734,0.74,us,us700000064,south of Fiji,earthquake,4.4,2.85,0.316,40,0
2015-02-16T02:41:39.612Z,-13.6921,-77.6265,471.53,5.11,ml,75.0,141.1,1.808,0.71,ci,us700000065,near the coast of Chile,earthquake,4.6,6.73,0.079,45,0
2015-02-16T13:39:06.143Z,15.8877,174.9224,31.95,4.73,mb,77.0,,1.164,0.42,us,us700000066,various,earthquake,1.28,1.43,0.131,46,0
2015-02-17T00:36:32.674Z,32.3607,81.5889,1.86,4.93,md,71.0,55.6,3.046,1.09,ci,us700000067,Tibet region,earthquake,7.27,10.3,0.142,42,0
2015-02-17T11:33:59.204Z,-39.2041,159.2917,143.27,5.93,mww,91.0,46.2,0.386,0.4,ci,us700000068,off the coast of Japan,earthquake,2.16,7.68,0.023,54,0
2015-02-17T22:31:25.735Z,-4.1228,105.7525,8.93,4.67,mb,70.0,132.4,1.451,0.17,us,us700000069,south of Fiji,earthquake,2.12,2.89,0.053,42,0
2015-02-18T09:28:52.266Z,39.0125,141.5865,11.74,4.82,mb,78.0,69.8,2.959,0.56,ak,us70000006a,near Vanuatu,earthquake,2.88,1.82,0.298,46,0
2015-02-18T20:26:18.797Z,57.9258,27.298,7.7,5.35,mb,74.0,130.8,0.198,0.6,us,us70000006b,various,earthquake,4.69,8.85,0.091,44,0
2015-02-19T07:23:45.328Z,56.6417,-166.5259,12.15,4.66,mww,87.0,113.9,0.404,0.52,us,us70000006c,Papua New Guinea region,earthquake,2.05,13.51,0.406,52,0
2015-02-19T18:21:11.858Z,-36.8444,-78.376,182.52,4.55,mww,78.0,22.9,0.129,0.8,us,us70000006d,100 km ESE of Kamchatka,earthquake,5.51,1.2,0.245,46,0
2015-02-20T05:18:38.389Z,-37.0988,-176.7681,3.39,4.71,mww,86.0,123.9,7.328,0.65,nc,us70000006e,near the coast of Chile,earthquake,1.85,18.51,0.053,51,0
2015-02-20T16:16:04.920Z,55.3198,155.8504,21.48,4.61,ml,74.0,85.6,1.305,1.03,us,us70000006f,south of Fiji,earthquake,1.39,2.95,0.051,44,0
2015-02-21T03:13:31.451Z,-21.4067,22.0334,3.82,6.09,mb,84.0,104.9,1.009,0.96,us,us700000070,various,earthquake,4.58,7.56,0.064,50,0
2015-02-21T14:10:57.982Z,-28.7372,-35.5824,48.63,5.49,mww,81.0,40.7,0.62,0.82,us,us700000071,various,earthquake,8.64,3.45,0.091,48,0
2015-02-22T01:08:24.513Z,-20.0874,109.4908,109.21,5.1,mww,,10.0,0.895,0.83,us,us700000072,various,earthquake,8.21,3.95,0.247,47,0
2015-02-22T12:05:51.043Z,32.2277,83.2404,83.38,5.73,mww,85.0,56.7,2.243,0.14,us,us700000073,Afghanistan,earthquake,1.19,4.07,0.09,51,0
2015-02-22T23:03:17.574Z,39.0293,-32.8548,6.0,5.48,mb,89.0,36.7,3.728,0.84,us,us700000074,central Italy,earthquake,2.49,14.23,0.173,53,0
2015-02-23T10:00:44.105Z,39.8056,14.0307,4.39,4.62,mww,74.0,70.9,0.166,0.82,ak,us700000075,Turkey,earthquake,2.02,4.98,0.106,44,0
2015-02-23T20:58:10.636Z,23.889,150.9391,515.32,5.84,mww,96.0,22.7,0.534,1.08,us,us700000076,Papua New Guinea region,earthquake,2.82,2.4,0.046,57,0
2015-02-24T07:55:37.167Z,33.6902,84.2221,3.93,4.97,mb,,135.3,0.314,0.42,us,us700000077,northern India,earthquake,1.16,4.94,0.075,45,0
2015-02-24T18:53:03.697Z,51.7985,148.4866,113.16,5.49,mww,86.0,26.6,0.858,0.39,ak,us700000078,off the coast of Japan,earthquake,2.59,1.38,0.073,51,0
2015-02-25T05:50:30.228Z,37.2297,22.4892,35.0,5.86,mww,84.0,117.0,1.134,0.49,us,us700000079,central Italy,earthquake,10.73,2.61,0.507,50,0
2015-02-25T16:47:56.759Z,-39.016,127.7262,7.05,4.73,mb,75.0,141.5,1.916,0.6,nc,us70000007a,near the coast of Chile,earthquake,3.51,1.76,0.1,45,0
2015-02-26T03:45:23.290Z,-6.4083,119.3261,211.25,4.57,ml,74.0,30.8,3.127,0.3,us,us70000007b,Papua New Guinea region,earthquake,1.74,4.73,0.028,44,0
2015-02-26T14:42:49.821Z,31.5039,-37.9871,100.67,4.66,mb,68.0,58.5,1.172,0.2,us,us70000007c,various,earthquake,5.97,4.04,0.105,40,0
2015-02-27T01:40:16.352Z,-50.1308,19.8133,42.95,4.83,mb,64.0,112.3,1.006,0.42,us,us70000007d,various,earthquake,2.52,6.16,0.104,38,0
2015-02-27T12:37:42.882Z,-37.1948,107.507,106.63,5.52,mww,88.0,110.0,1.286,0.17,us,us70000007e,south of Fiji,earthquake,1.2,2.65,0.085,52,0
2015-02-27T23:35:09.413Z,-16.6364,-131.7702,8.73,5.68,mb,80.0,15.2,3.289,0.07,us,us70000007f,off the coast of Japan,earthquake,2.3,17.91,0.059,48,0
2015-02-28T10:32:35.944Z,-51.0261,129.7623,126.36,4.5,mww,76.0,19.9,1.569,0.4,nc,us700000080,various,earthquake,6.05,2.54,0.048,45,0
2015-02-28T21:30:02.475Z,33.6862,88.6824,4.71,4.93,mb,73.0,26.8,2.322,0.62,us,us700000081,Nepal region,earthquake,1.75,1.21,0.043,43,0
2015-03-01T08:27:29.006Z,-12.2111,124.5015,28.22,4.82,ml,80.0,89.5,1.907,0.53,us,us700000082,100 km ESE of Kamchatka,earthquake,2.19,2.26,0.03,48,0
2015-03-01T19:24:55.536Z,40.6361,20.1525,4.57,4.65,mb,78.0,17.7,3.856,0.83,ci,us700000083,Iran,earthquake,1.95,4.91,0.068,46,0
2015-03-02T06:22:22.067Z,-10.0369,-71.8616,292.41,4.58,mb,75.0,92.4,2.547,0.14,us,us700000084,100 km ESE of Kamchatka,earthquake,7.85,6.71,0.147,45,0
2015-03-02T17:19:48.598Z,45.9066,-137.6989,31.82,4.75,mb,71.0,57.9,0.626,0.87,us,us700000085,100 km ESE of Kamchatka,earthquake,2.05,2.11,0.107,42,0
2015-03-03T04:17:15.129Z,40.7885,-36.5407,8.51,6.22,mb,87.0,103.7,2.89,0.53,us,us700000086,various,earthquake,1.82,7.06,0.022,52,0
2015-03-03T15:14:41.660Z,-40.2682,140.6555,7.22,4.73,mb,63.0,119.5,0.945,1.07,us,us700000087,near Vanuatu,earthquake,8.86,2.64,,37,0
2015-03-04T02:12:08.191Z,-12.0124,-75.549,112.31,4.94,ml,,120.8,2.818,0.64,us,us700000088,off the coast of Japan,earthquake,26.2,1.72,0.071,50,0
2015-03-04T13:09:34.721Z,27.0596,139.9334,28.23,5.23,mb,81.0,15.3,3.543,0.58,ak,us700000089,100 km ESE of Kamchatka,earthquake,3.7,1.61,0.141,48,0
2015-03-05T00:07:01.252Z,0.0799,-82.5043,191.68,4.77,mb,78.0,142.6,1.734,0.53,us,us70000008a,Papua New Guinea region,earthquake,9.19,7.82,0.164,46,0
2015-03-05T11:04:27.783Z,-7.4424,-79.1875,1.55,6.64,md,91.0,92.1,1.903,0.68,us,us70000008b,south of Fiji,earthquake,5.38,2.08,0.085,54,0
2015-03-05T22:01:54.314Z,32.2534,-70.7424,233.77,6.47,ml,93.0,135.4,0.228,0.91,us,us70000008c,Papua New Guinea region,earthquake,1.62,1.99,0.177,55,0
2015-03-06T08:59:20.845Z,38.8938,159.3573,0.46,4.67,mww,79.0,96.1,0.587,0.84,us,us70000008d,near Vanuatu,earthquake,4.46,9.58,0.114,47,0
2015-03-06T19:56:47.375Z,-7.3759,177.258,0.15,4.91,ml,74.0,77.8,1.224,0.68,us,us70000008e,100 km ESE of Kamchatka,earthquake,5.68,2.81,0.179,44,0
2015-03-07T06:54:13.906Z,-6.7964,136.5052,3.53,4.71,mb,83.0,112.2,0.005,0.55,us,us70000008f,near Vanuatu,earthquake,5.08,19.55,0.135,49,0
2015-03-07T17:51:40.437Z,2.8339,153.3659,476.96,4.7,ml,83.0,40.7,2.819,0.65,us,us700000090,off the coast of Japan,earthquake,3.26,2.26,0.038,49,0
2015-03-08T04:49:06.968Z,40.4865,1.7423,162.43,4.52,md,64.0,24.5,0.692,1.25,us,us700000091,Turkey,earthquake,3.17,5.32,0.048,38,0
2015-03-08T15:46:33.499Z,39.5317,41.2333,18.92,5.06,mww,75.0,22.7,1.928,0.8,us,us700000092,central Italy,earthquake,,1.87,0.075,45,0
2015-03-09T02:44:00.030Z,44.0411,-78.2141,3.05,4.92,ml,76.0,128.9,2.2,0.92,nc,us700000093,100 km ESE of Kamchatka,earthquake,4.5,1.86,0.068,45,0
2015-03-09T13:41:26.560Z,39.0194,27.7179,340.84,4.53,mb,77.0,137.7,1.191,0.79,ci,us700000094,Iran,earthquake,5.72,7.62,0.057,46,0
2015-03-10T00:38:53.091Z,-8.2632,145.5193,6.34,4.7,mww,84.0,124.0,,0.73,us,us700000095,various,earthquake,1.7,11.41,0.082,50,0
2015-03-10T11:36:19.622Z,14.5881,133.2176,57.18,5.93,mb,83.0,136.6,1.72,0.16,us,us700000096,various,earthquake,11.18,9.99,0.094,49,0
2015-03-10T22:33:46.153Z,-30.2775,124.2845,31.19,4.66,mb,75.0,147.9,0.669,0.31,us,us700000097,Papua New Guinea region,earthquake,4.96,8.18,0.261,45,0
2015-03-11T09:31:12.684Z,35.0393,87.044,125.33,4.59,mb,69.0,83.6,2.541,0.62,nc,us700000098,Nepal region,earthquake,2.65,4.5,0.056,41,0
2015-03-11T20:28:39.214Z,-2.8818,140.5957,58.13,4.9,mb,74.0,31.5,1.516,0.63,us,us700000099,south of Fiji,earthquake,3.74,1.48,0.026,44,0
